# Time (s), Z (m), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s)
25.337142,3674.217627,0.704824,-2.462948
25.340000,3674.217589,0.704824,-2.462948
25.348199,3674.216897,0.704823,-2.462945
25.356397,3674.215742,0.704820,-2.462941
25.372794,3674.212508,0.704813,-2.462929
25.389191,3674.207438,0.704802,-2.462910
25.405589,3674.200552,0.704787,-2.462885
25.489865,3674.137148,0.704650,-2.462651
25.574142,3674.028610,0.704414,-2.462250
25.658419,3673.876926,0.704085,-2.461690
25.742696,3673.683828,0.703666,-2.460977
25.870512,3673.315287,0.702866,-2.459615
25.998329,3672.859424,0.701877,-2.457932
26.126145,3672.320035,0.700706,-2.455940
26.253962,3671.700413,0.699362,-2.453651
26.381778,3671.003451,0.697849,-2.451077
26.595954,3669.669301,0.694954,-2.446149
26.810130,3668.136401,0.691627,-2.440488
27.024306,3666.415133,0.687892,-2.434130
27.238482,3664.515451,0.683769,-2.427114
27.452658,3662.447278,0.679281,-2.419476
27.666834,3660.220600,0.674449,-2.411252
28.026593,3656.151633,0.665619,-2.396223
28.386351,3651.712543,0.655986,-2.379828
28.746110,3646.951264,0.645653,-2.362243
29.105869,3641.913846,0.634721,-2.343638
29.465627,3636.643168,0.624357,-2.327847
29.825386,3631.178065,0.616031,-2.319755
30.369916,3622.611452,0.602980,-2.307071
30.914446,3613.775771,0.589519,-2.293988
31.458977,3604.747237,0.575764,-2.280620
32.003507,3595.582796,0.561802,-2.267051
32.548037,3586.324376,0.547696,-2.253343
33.092568,3577.001858,0.533493,-2.239539
33.639941,3567.587445,0.519151,-2.225600
34.187314,3558.144857,0.504765,-2.211619
34.734687,3548.684503,0.490352,-2.197611
35.282060,3539.213623,0.475923,-2.183588
35.829433,3529.737208,0.461485,-2.169557
36.519159,3517.793485,0.443289,-2.151872
37.208884,3505.850683,0.425094,-2.134189
37.898610,3493.911557,0.406905,-2.116512
38.588336,3481.977622,0.388723,-2.098842
39.278061,3470.049857,0.370551,-2.081181
39.967787,3458.128892,0.352390,-2.063530
40.657512,3446.215077,0.334239,-2.045890
42.026589,3422.588536,0.298244,-2.010907
43.395667,3398.991742,0.262294,-1.975969
44.764744,3375.424612,0.226389,-1.941074
46.133821,3351.886939,0.190529,-1.906223
47.559524,3327.407200,0.153234,-1.869977
48.985227,3302.959585,0.115988,-1.833779
50.410930,3278.543862,0.078791,-1.797627
51.121933,3266.379459,0.060258,-1.779616
51.832937,3254.222865,0.041738,-1.761617
52.543940,3242.074098,0.023229,-1.743628
53.253734,3229.953792,0.004763,-1.725683
53.963528,3217.841247,-0.013690,-1.707748
54.673322,3205.736441,-0.032132,-1.689825
56.176968,3180.118755,-0.071161,-1.651894
57.680614,3154.535523,-0.110137,-1.614014
59.184260,3128.986558,-0.149061,-1.576185
61.288799,3093.284806,-0.203453,-1.523324
63.393337,3057.649324,-0.257744,-1.470560
63.919471,3048.750768,-0.268866,-1.459081
64.445606,3039.856381,-0.271126,-1.453780
64.971741,3030.966249,-0.273385,-1.448481
65.904086,3015.223052,-0.277384,-1.439099
66.836431,2999.493765,-0.281381,-1.429724
67.768776,2983.778543,-0.285373,-1.420358
69.182905,2959.969412,-0.291423,-1.406168
70.597035,2936.192524,-0.297464,-1.391998
72.011164,2912.447751,-0.303496,-1.377846
73.425187,2888.736729,-0.309521,-1.363714
74.839211,2865.057513,-0.315537,-1.349602
76.253234,2841.409924,-0.321545,-1.335508
77.677880,2817.616501,-0.327590,-1.321328
79.102525,2793.854833,-0.333627,-1.307166
80.527170,2770.124759,-0.339656,-1.293023
82.004785,2745.545574,-0.345901,-1.278374
83.482401,2721.000010,-0.352137,-1.263745
84.960016,2696.487881,-0.358365,-1.249136
87.453332,2655.201556,-0.368854,-1.224530
89.946648,2614.009046,-0.379320,-1.199980
92.439964,2572.909505,-0.389762,-1.175485
94.818332,2533.790724,-0.399701,-1.152171
97.196701,2494.755128,-0.407014,-1.135371
97.791293,2485.009393,-0.402881,-1.145961
98.385885,2475.269373,-0.398751,-1.156545
98.980477,2465.535110,-0.394624,-1.167122
99.575069,2455.806815,-0.390498,-1.177694
100.272787,2444.398940,-0.385661,-1.190090
100.970505,2432.999401,-0.380828,-1.202477
101.668223,2421.608235,-0.375997,-1.214855
